,class,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,CR,NC
0,BIOE191,0.0994671403197158,0.7637655417406749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017761989342806393,0.11900532859680284,0.0
1,SPANLANG12C,0.23076923076923078,0.39377289377289376,0.21611721611721613,0.10073260073260074,0.028388278388278388,0.0,0.0027472527472527475,0.0,0.0,0.0,0.0,0.0,0.00641025641025641,0.021062271062271064,0.0
2,ENGLISH94,0.1374764595103578,0.8097928436911488,0.026365348399246705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026365348399246705,0.0
3,POLISCI236,0.09026798307475317,0.3032440056417489,0.27291960507757407,0.15162200282087446,0.18194640338504936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,AMSTUD160,0.016374269005847954,0.5029239766081871,0.24210526315789474,0.13801169590643275,0.05146198830409357,0.016374269005847954,0.0,0.0,0.0,0.0,0.0,0.0,0.016374269005847954,0.016374269005847954,0.0
5,EE264,0.09544950055493896,0.2386237513873474,0.14317425083240842,0.1670366259711432,0.1193118756936737,0.07103218645948946,0.0,0.04716981132075472,0.0,0.0,0.0,0.0,0.0,0.04716981132075472,0.07103218645948946
6,CS261,0.4287138584247258,0.2711864406779661,0.11266201395812563,0.06879361914257229,0.04287138584247258,0.007976071784646061,0.007976071784646061,0.007976071784646061,0.0,0.0,0.0,0.0,0.0,0.0518444666001994,0.0
7,PHYSICS43,0.060933448573898014,0.158599827139153,0.16508210890233363,0.17847882454624028,0.18582541054451165,0.11408815903197926,0.05315471045808125,0.02247191011235955,0.00648228176318064,0.0,0.0025929127052722557,0.0,0.0025929127052722557,0.04105445116681072,0.00864304235090752
8,SOC114,0.0,0.3020833333333333,0.4479166666666667,0.16458333333333333,0.053125,0.013541666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01875,0.0
9,MATH106,0.1203599550056243,0.48368953880764903,0.10011248593925759,0.05961754780652419,0.1203599550056243,0.03937007874015748,0.019122609673790775,0.019122609673790775,0.019122609673790775,0.0,0.0,0.0,0.0,0.019122609673790775,0.0
10,MUSIC160A,0.0,0.9347826086956522,0.021739130434782608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043478260869565216,0.0
11,ENGR20,0.05924339757316203,0.30692362598144185,0.22483940042826553,0.09707351891506068,0.1870092790863669,0.04425410421127766,0.02212705210563883,0.014275517487508922,0.0,0.0,0.0,0.007137758743754461,0.0,0.037116345467523196,0.0
12,BIO112,0.012165450121654502,0.5231143552311436,0.145985401459854,0.0827250608272506,0.1362530413625304,0.021897810218978103,0.004866180048661801,0.025547445255474453,0.0,0.0,0.0,0.0,0.012165450121654502,0.03527980535279805,0.0
13,CS103,0.059932659932659935,0.2895622895622896,0.12996632996632998,0.17777777777777778,0.15824915824915825,0.04781144781144781,0.027609427609427608,0.024242424242424242,0.011447811447811448,0.0026936026936026937,0.010774410774410775,0.0026936026936026937,0.0013468013468013469,0.04713804713804714,0.008754208754208754
14,PSYCH75,0.03800786369593709,0.563564875491481,0.19528178243774574,0.061598951507208385,0.08519003931847968,0.022280471821756225,0.00655307994757536,0.00655307994757536,0.0,0.0,0.0,0.0,0.014416775884665793,0.00655307994757536,0.0
15,SOC117A,0.13364413364413363,0.3341103341103341,0.26728826728826727,0.06604506604506605,0.13364413364413363,0.03263403263403263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03263403263403263,0.0
16,CS106B,0.042682926829268296,0.37456445993031356,0.18641114982578397,0.12630662020905922,0.1402439024390244,0.04006968641114982,0.017421602787456445,0.013937282229965157,0.004355400696864111,0.0,0.0008710801393728223,0.0,0.0008710801393728223,0.04529616724738676,0.006968641114982578
17,CS223A,0.05176470588235294,0.22705882352941176,0.2529411764705882,0.15705882352941178,0.11294117647058824,0.060588235294117644,0.00823529411764706,0.017058823529411765,0.00823529411764706,0.0,0.0,0.0,0.0,0.08705882352941176,0.017058823529411765
18,ME208,0.14575645756457564,0.25,0.3966789667896679,0.08302583025830258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12453874538745388,0.0
19,CS193P,0.08113391984359726,0.14271749755620725,0.11241446725317693,0.13294232649071358,0.030303030303030304,0.0,0.0,0.019550342130987292,0.0,0.0,0.0,0.0,0.0,0.4203323558162268,0.06060606060606061
20,ME220,0.05985267034990792,0.39594843462246776,0.15193370165745856,0.12154696132596685,0.07550644567219153,0.09116022099447514,0.0,0.014732965009208104,0.0,0.0,0.0,0.0,0.014732965009208104,0.04511970534069982,0.029465930018416207
21,ANES199,0.5591677503250976,0.2093628088426528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06892067620286085,0.1625487646293888,0.0
22,PSYC233,0.0,0.09003831417624521,0.0,0.0,0.028735632183908046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028735632183908046,0.8237547892720306,0.028735632183908046
23,MATH51A,0.03744798890429958,0.18723994452149792,0.1636615811373093,0.19879796578825706,0.19325011558021266,0.09061488673139159,0.04345815996301433,0.04068423485899214,0.008321775312066574,0.0,0.0,0.0,0.008321775312066574,0.025889967637540454,0.002311604253351826
24,POLISCI114S,0.019485580670303974,0.21434138737334374,0.33515198752922837,0.24162120031176929,0.09664848012470771,0.06313328137178488,0.006235385814497272,0.006235385814497272,0.0,0.0,0.0,0.0,0.002338269680436477,0.012470771628994544,0.002338269680436477
25,CS499,0.15613382899628253,0.2812887236679058,0.02973977695167286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5328376703841388,0.0
26,HISTORY147,0.03182125930941097,0.2911306702775897,0.25863236289776576,0.2105619498984428,0.08056872037914692,0.015572105619498984,0.015572105619498984,0.015572105619498984,0.0,0.0,0.0,0.0,0.0,0.08056872037914692,0.0
27,POLISCI114D,0.010351966873706004,0.1559696342305038,0.29675638371290547,0.2864044168391994,0.1290545203588682,0.05866114561766736,0.015873015873015872,0.004830917874396135,0.004830917874396135,0.0,0.0,0.0,0.0,0.037267080745341616,0.0
28,PSYCH60,0.06666666666666667,0.31851851851851853,0.1814814814814815,0.12,0.16444444444444445,0.02148148148148148,0.03037037037037037,0.05555555555555555,0.005185185185185185,0.005185185185185185,0.0022222222222222222,0.0022222222222222222,0.0,0.024444444444444446,0.0022222222222222222
29,FRENLANG1,0.0881590319792567,0.3716508210890233,0.2411408815903198,0.10458081244598098,0.09853068280034573,0.00950734658599827,0.0,0.0,0.0,0.0,0.0,0.0,0.00432152117545376,0.07260155574762317,0.00950734658599827
30,PSYC78Q,0.5205811138014528,0.3668280871670702,0.05690072639225181,0.03753026634382567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018159806295399514,0.0
31,ITALLANG126,0.013157894736842105,0.043859649122807015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9429824561403509,0.0
32,MATH113,0.088011088011088,0.29799029799029797,0.088011088011088,0.10256410256410256,0.14553014553014554,0.10256410256410256,0.017325017325017324,0.03465003465003465,0.0,0.0,0.0,0.0,0.01386001386001386,0.09563409563409564,0.01386001386001386
33,OSPMADRD46,0.10618066561014262,0.34072900158478603,0.2979397781299525,0.17036450079239301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08478605388272584,0.0
34,CEE203,0.14631782945736435,0.4166666666666667,0.09786821705426356,0.09786821705426356,0.07267441860465117,0.12209302325581395,0.023255813953488372,0.0,0.0,0.0,0.0,0.0,0.023255813953488372,0.0,0.0
35,ARTSTUDI160,0.0467412771560237,0.23633969716919026,0.28308097432521395,0.2534562211981567,0.14154048716260698,0.005266622778143515,0.005266622778143515,0.0,0.0,0.0,0.0,0.0,0.0,0.02304147465437788,0.005266622778143515
36,PHYSICS42,0.004201680672268907,0.052521008403361345,0.004201680672268907,0.01680672268907563,0.0,0.0,0.0,0.004201680672268907,0.0,0.0,0.0,0.0,0.004201680672268907,0.9033613445378151,0.01050420168067227
37,PSYC81Q,0.031207598371777476,0.5834464043419267,0.031207598371777476,0.031207598371777476,0.06377204884667571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2591587516960651,0.0
